id;title;description
58;ozmózis;Féligáteresztő hártyán keresztül végbemenő víz diffúzió. A víz az alacsonyabb oldott anyag koncentrációjú hely felől a magasabb oldott anyag koncentrációjú hely felé áramlik. Az ozmózis az ozmózisnyomás és a turgornyomás kiegyenlítődéséig tart.
59;szemipermeábilis membrán;Olyan hártya, amely bizonyos anyagokat átereszt másokat nem.
60;turgornyomás;A sejtfalra kifejtett nyomás.
61;ozmózisnyomás;Az a nyomás, ami a féligáteresztő hártyán átáramló anyag (oldószer) áramlását (az ozmózist) megakadályozza.
62;szelektivitás;szűrőképesség
63;glükóz;szőlőcukor
64;szacharóz;kristálycukor
65;foszfolipid;Olyan zsírszerű anyag, amely a sejtmembránt alkotja.
66;ioncsatorna;A sejtmembrán oldalait összekötő csatorna.
67;extracelluláris folyadék;A sejten kívül elhelyezkedő folyadék.
68;hidrofil részecske;Olyan részecskék, amelyek elegyednek vízzel.
69;hidrofób részecske;Olyan részecskék, amelyek nem elegyednek vízzel.
70;apoláros molekula;Olyan molekula, amely azonos atomokból épül fel.
71;toxin;Biológiai folyamat során létrejövő méreg.
72;ion;Elektromos töltéssel rendelkező atom/molekula.
73;szteroid hormon;Olyan, lipidek családjába tartozó szerves molekulák, amiket a sejtek állítanak elő.
74;peptid hormon;Meghatározott sorrendben összekapcsolódó, aminosavakból felépülő rövid polimerek.
75;hipotóniás oldat;Olyan oldat, amelynek az oldott anyag koncentrációja alacsonyabb, mint a benne lévő sejteké.
76;izotóniás oldat;Olyan oldat, amelynek az oldott anyag koncentrációja megegyezik, a benne lévő sejtekével.
77;hipertóniás oldat;Olyan oldat, amelynek az oldott anyag koncentrációja magasabb, mint a benne lévő sejteké.
78;hemolízis;Olyan jelenség, melynél a vörösvérsejtek sejtmembránja megbomlik és a sejt anyaga a környező folyadékba kerül.
79;hemoglobin;A vörösvérsejtekben lévő fehérjemolekula, amely az oxigén megkötéséért és szállításáért felelős.
80;endocitózis;Az a folyamat, melynek során egy sejt a körülötte lévő makromolekulákat, oldott anyagokat, szilárd részecskéket bekebelezi.
81;exocitózis;Az a folyamat, melynek során az emészthetetlen anyagok kikerülnek a sejtekből.
82;sejtmembrán;A sejteket körülvevő hártya.
83;Malária;Trópusokon terjedő, magas lázzal járó betegség, melynek kórokozója a lázállatka. Vektorállata a maláriaszúnyog.
84;Álomkór;Afrikai elterjedésű betegség. Kórokozója az álomkórostoros. Vektorállata a cecelégy.
85;Leihsmaniasis;Latin-amerikai elterjedésű betegség. Kórokozója a Leishmania ostoros. Vektorállata egy poloskafaj.
86;fiziológiai sóoldat;Olyan sóoldat, ami ~0,87% NaCl-ot és egyéb sókat tartalmaz. Az infúziók alapoldata.
87;Ringer-oldat;olyan izotóniás sóoldat keverék, melyben az élő szervezetből eltávolított szövetek viszonylag hosszú ideig életben tarthatók, miközben élettani működésük vizsgálható.
88;lüktetési frekvencia;Lüktetések száma, egységnyi idő alatt.
89;plazmolízis;Olyan folyamat, amely csak a sejtfallal rendelkező sejtekkel történhet meg. A külső tér oldott anyag koncentrációja magasabb, mint a sejt citoplazmájának oldott anyag koncentrációja. Ozmózis történik.  A víz kiáramlik a sejtből, a citoplazma összezsugorodik. A sejtmembrán elválik a sejtfaltól.
90;deplazmolízis;Fordított plazmolízis. A külső térnek alacsonyabb az oldott anyag koncentrációja, mint a citoplazma oldott anyag koncentrációja. A víz beáramlik a sejtbe. A citoplazma térfogata nő. Megduzzad a sejt, de nem durran ki a sejtfalra gyakorolt nyomás miatt.
